fecha,team1,team2,league,market,label,prob,hit,mia,cuota
2026-06-26,Japón,Suecia,mundial 2026,Tarjetas,"Tarjetas totales +2.5",0.4620,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tarjetas,"Tarjetas totales +1.5",0.7173,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Mitades,"Gol en 1ª parte",0.8111,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Mitades,"Gol en 2ª parte",0.8812,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Gana Túnez",0.0246,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Empate",0.0964,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Gana Países Bajos",0.8790,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Túnez o empate (1X)",0.1210,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Países Bajos o empate (X2)",0.9754,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,1X2,"Sin empate (12)",0.9036,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Goles,"Más de 5.5 goles",0.1462,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Goles,"Más de 4.5 goles",0.2876,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Goles,"Más de 3.5 goles",0.4824,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Goles,"Más de 2.5 goles",0.6972,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,BTTS,"Ambos anotan",0.3652,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,BTTS,"No ambos anotan",0.6348,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +11.5",0.2133,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +10.5",0.3137,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +9.5",0.4343,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +8.5",0.5659,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +7.5",0.6951,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners totales +6.5",0.8078,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Túnez +5.5",0.0813,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Túnez +4.5",0.1804,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Túnez +3.5",0.3469,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Túnez +2.5",0.5710,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Túnez +1.5",0.7969,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +8.5",0.1731,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +7.5",0.2827,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +6.5",0.4243,0,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +5.5",0.5845,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +4.5",0.7397,1,0,
2026-06-26,Túnez,Países Bajos,mundial 2026,Córners,"Córners Países Bajos +3.5",0.8650,1,0,
